Command,Description,Aliases,Permissions
!start,Starten van de wachtrij,,Streamer
!stop,stoppen van de wachtrij,,Streamer
!suck on my,suck on my,,Streamer
!the-rock,the-rock,,Streamer
!timer,60 seconden timer,,Streamer
!tip,Link to tipping page,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!top,Top points list,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!tophours,Top hours watched,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!tri-poloski---party,,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!uptime,Stream uptime,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!user,User stats,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!veto,Veto song,,Streamer; Mod
!volgende,volgende,,Streamer; Mod; VIPS
!volume,Set volume,,Streamer; Mod
!vorige,vorige,,Streamer; Mod; VIPS
!watchtime,Time watched,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!winner,Pick a winner,,Streamer; Mod
!wrongsong,Remove last song,,Streamer; Mod
!zoek,zoek,,Streamer; Mod; VIPS
